Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE,PC1,PC2
chembridge-fragment-library-part1-exp-2024-06,8582,1,S1CCN(Cc2c[nH]c3ccccc32)CC1,6TBE_P,232.3,16,2.7,19.0,3.0,2,-6.444,-5.553,-6.37,-0.347,19.0,1.0,1.0,-2.12,ExpressPick,232,-0.8445879279042724,-2.4000677787327733
chembridge-fragment-library-part1-exp-2024-06,13852,1,Fc1ccc(C=2c3ccccc3C(=O)NN2)cc1,6TBE_P,240.2,18,2.6,41.5,0.2,1,-6.444,-5.287,-6.696,-0.294,45.8,2.0,1.0,-3.5,ExpressPick,240,-0.07214428607441623,-1.094872419455929
chembridge-fragment-library-part1-exp-2024-06,6268,1,OC(=O)Cc1c2ccccc2[nH]n1,6TBE_P,176.2,13,1.2,66.0,2.3,3,-6.443,-5.076,-5.702,-0.39,66.0,3.0,2.0,-1.35,ExpressPick,176,-1.4128203714765484,1.8547426002284806
chembridge-fragment-library-part1-exp-2024-06,13086,1,O=C1CCCC2=C1[C@H](c3ccc(O)cc3)C(=C(N2)C)C#N,6TBE_P,280.3,21,2.9,73.1,1.0,2,-6.443,-5.967,-6.654,-0.284,73.1,3.0,2.0,-1.08,ExpressPick,280,1.9351435702056576,0.8800269689230322
chembridge-fragment-library-part2-cl-2024-06,7059,1,s1cccc1-c2nccn2Cc3cn4cccnc4n3,6TBE_P,281.3,20,2.7,48.0,2.1,3,-6.442,-4.171,-5.928,-0.209,48.0,3.0,0.0,-2.17,1105,CORE,1.6287463155886044,-0.8097224084891201
chembridge-fragment-library-part1-exp-2024-06,9158,1,Fc1ccc2C(=O)N(C(=O)c2c1)Cc3cnccc3,6TBE_P,256.2,19,2.3,50.3,2.0,2,-6.441,-4.294,-5.744,-0.226,50.3,3.0,0.0,-1.48,ExpressPick,256,0.8027430654048499,-0.5316186837953012
chembridge-fragment-library-part1-exp-2024-06,13846,1,Fc1cccc(NC(=O)Nc2c(cccn2)C)c1,6TBE_P,245.3,18,3.4,54.0,1.0,4,-6.441,-5.659,-6.662,-0.314,54.0,2.0,2.0,-3.25,ExpressPick,245,1.0066997087510472,-0.3864879887736018
chembridge-fragment-library-part1-exp-2024-06,14702,1,Fc1ccc([C@@H]2CC(=O)c3cnc(nc3C2)N)cc1,6TBE_P,257.3,19,2.4,68.9,0.5,1,-6.441,-6.1,-6.957,-0.321,68.9,3.0,1.0,-2.52,ExpressPick,257,0.8424145705700042,0.4958730214593346
chembridge-fragment-library-part1-exp-2024-06,9538,1,Fc1ccc(cc1)/C=N/NC(=O)c2ccccc2,6TBE_P,242.3,18,2.9,41.5,1.0,3,-6.44,-4.848,-6.049,-0.269,41.5,2.0,1.0,-3.3,ExpressPick,242,0.46743465666881895,-1.121394647813533
chembridge-fragment-library-part1-exp-2024-06,11158,1,S1CC[C@@H](N2CCN(CC2)c3ccccc3)C1,6TBE_P,248.4,17,2.3,6.5,1.7,2,-6.44,-5.884,-6.416,-0.346,6.48,1.0,0.0,-1.72,ExpressPick,248,-0.7061903192187454,-3.1660760598157633
chembridge-fragment-library-part1-exp-2024-06,14652,1,O=C(Nc1nccs1)c2cccc(N)c2C,6TBE_P,233.3,16,2.3,68.0,0.5,2,-6.44,-6.175,-6.95,-0.386,68.0,2.0,2.0,-1.77,ExpressPick,233,-0.1642057063500572,0.587592785893747
chembridge-fragment-library-part1-exp-2024-06,22940,1,Fc1cc(NC(=O)c2ccncc2)ccc1C,6TBE_P,230.2,17,3.1,42.0,0.5,2,-6.439,-4.399,-5.539,-0.259,42.0,2.0,1.0,-3.13,ExpressPick,230,-0.016852301499884446,-1.2405606597137957
chembridge-fragment-library-part2-cl-2024-06,6727,1,S1CC[C@H](n2ccnc2-c3cnccc3)C1,6TBE_P,231.3,16,2.6,30.7,0.6,2,-6.439,-5.266,-5.876,-0.329,30.7,2.0,0.0,-1.83,1105,CORE,-0.4865822834517889,-1.8627815250732291
chembridge-fragment-library-part2-cl-2024-06,6999,1,C[C@@H](n1ccnc1-c2cnccc2)c3cscc3,6TBE_P,255.3,18,3.6,30.7,2.0,3,-6.439,-5.234,-6.112,-0.291,30.7,2.0,0.0,-2.97,1105,CORE,0.7560896526784909,-2.380200455255648
chembridge-fragment-library-part1-exp-2024-06,1044,1,OC(=O)Cc1c([nH]c2c(C)ccc(c12)C)C,6TBE_P,217.3,16,2.7,53.1,2.3,3,-6.437,-6.223,-6.759,-0.389,53.1,2.0,2.0,-2.17,ExpressPick,217,-0.19496336602682418,-0.04894907778100223
chembridge-fragment-library-part1-exp-2024-06,8092,1,Fc1ccccc1C(=O)Nc2cc(cc(n2)C)C,6TBE_P,244.3,18,3.4,42.0,0.5,2,-6.437,-5.334,-6.572,-0.296,42.0,2.0,1.0,-3.35,ExpressPick,244,0.4599779814183912,-1.432596041036914
chembridge-fragment-library-part1-exp-2024-06,11448,1,Oc1ccccc1-n2c(cc(n2)C)C,6TBE_P,188.2,14,2.2,38.0,0.8,2,-6.437,-4.68,-5.301,-0.334,38.1,3.0,1.0,-2.08,ExpressPick,188,-1.2410653671678247,-0.2406186335307235
chembridge-fragment-library-part1-exp-2024-06,18024,1,Brc1c(OC)cc(OC)c(/C=C\2C(=O)N(CC)C(=S)N2)c1,6TBE_P,371.2,21,2.6,50.8,2.6,4,-6.437,-5.758,-6.741,-0.274,50.8,3.0,1.0,-4.21,ExpressPick,371,3.129029407109333,-0.27211629315698
chembridge-fragment-library-part1-exp-2024-06,7610,1,Clc1ccc(C2C(=C(SC(N)=C2C#N)N)C#N)cc1,6TBE_P,288.8,19,2.6,99.6,0.2,1,-6.436,-6.862,-7.442,-0.361,99.6,2.0,2.0,-1.63,ExpressPick,289,1.3899434483747217,1.3442066554429228
